record_id,date,commodity,market_name,market_type,country,state,price_local_currency,currency,price_usd_per_kg,price_trend_7day,price_trend_30day,volume_traded_kg,quality_grade,notes
PH001,2025-10-14,Tomato,Mile 12,Wholesale,Nigeria,Lagos,450,NGN,0.28,-0.12,-0.31,48000,Grade B,Post-harvest glut. Seasonal peak supply. Price expected to fall further 2 weeks.
PH002,2025-10-14,Tomato,Kano Central,Wholesale,Nigeria,Kano,610,NGN,0.38,+0.04,-0.05,22000,Grade A,Drier north — lower supply. Better price than Lagos by 35%.
PH003,2025-10-14,Tomato,Aba Market,Wholesale,Nigeria,Abia,520,NGN,0.32,-0.08,-0.22,15000,Grade B,Mid-point market. Slightly better than Lagos.
PH004,2025-10-14,Maize,Kumasi Central,Wholesale,Ghana,Ashanti,3.20,GHS,0.21,+0.02,+0.09,85000,Grade A,Price firming after lean season. Harvest from northern Ghana 3 weeks away — price may dip then.
PH005,2025-10-14,Maize,Tamale,Wholesale,Ghana,Northern,2.95,GHS,0.19,-0.01,+0.07,110000,Grade B,Higher supply in production zone. Arbitrage opportunity vs Kumasi.
PH006,2025-10-14,Sorghum,Maiduguri,Wholesale,Nigeria,Borno,430,NGN,0.27,+0.01,+0.04,31000,Grade A,Stable price. Low conflict impact this week.
PH007,2025-10-14,Cassava (fresh),Onitsha,Wholesale,Nigeria,Anambra,95,NGN,0.06,-0.03,-0.07,95000,Grade B,Highly perishable. 2-3 day shelf life if unprocessed. Gari processing price is better.
PH008,2025-10-14,Gari (processed cassava),Onitsha,Retail,Nigeria,Anambra,900,NGN,0.56,+0.02,+0.06,12000,Grade A,Processing adds 9x value vs fresh cassava. Advice: process before selling.
PH009,2025-10-14,Potato,Nairobi Wakulima,Wholesale,Kenya,Nairobi,58,KES,0.45,+0.03,+0.11,62000,Grade A,Demand strong. Nakuru and Meru supply slightly down due to late rains.
PH010,2025-10-14,Onion,Sokoto,Wholesale,Nigeria,Sokoto,1200,NGN,0.75,+0.08,+0.19,18000,Grade A,Seasonal scarcity. Supply from Niger Republic reduced. High price window open 2-4 weeks.
PH011,2025-10-14,Beans,Bungoma,Wholesale,Kenya,Bungoma,130,KES,1.01,+0.05,+0.14,9500,Grade A,Protein demand high. Cross-border exports to Uganda reducing local supply.
PH012,2025-10-14,Groundnut,Kano,Wholesale,Nigeria,Kano,1650,NGN,1.03,-0.04,-0.02,7800,Grade A (shelled),Slight softening. Export processor ABC Oils quoting 1720 NGN/kg for 5t+ lots — contact: 08023456789.
